image_link,group_id,entity_name,entity_value
https://m.media-amazon.com/images/I/610+AMwHZ0L.jpg,478357,height,52.0 centimetre
https://m.media-amazon.com/images/I/511oDSHY97L.jpg,667319,height,28.5 centimetre
https://m.media-amazon.com/images/I/612VX2zYydL.jpg,801829,height,36.2 inch
https://m.media-amazon.com/images/I/613Ic2NPfmL.jpg,549052,height,45.0 centimetre
https://m.media-amazon.com/images/I/61DLHWEfmFL.jpg,408581,height,27.0 centimetre
https://m.media-amazon.com/images/I/61A+W1ow2NL.jpg,844474,height,38.0 centimetre
https://m.media-amazon.com/images/I/51LArBWZuJL.jpg,752266,height,355.0 millimetre
https://m.media-amazon.com/images/I/61Fw3e9e5eL.jpg,417434,height,11.0 inch
https://m.media-amazon.com/images/I/617nEVRPfIL.jpg,241895,height,228.0 millimetre
https://m.media-amazon.com/images/I/515Wz+XpeJS.jpg,810266,height,230.0 millimetre
https://m.media-amazon.com/images/I/517gEIxMSrL.jpg,569206,height,22.5 millimetre
https://m.media-amazon.com/images/I/51sHD2zmobL.jpg,752266,height,9.5 centimetre
https://m.media-amazon.com/images/I/51ll13ggUxL.jpg,276611,height,70.86 inch
https://m.media-amazon.com/images/I/51ece6T3LTL.jpg,375438,height,15.7 inch
https://m.media-amazon.com/images/I/51oHFdVNZqL.jpg,648011,height,143.0 millimetre
https://m.media-amazon.com/images/I/610Zxvo17pL.jpg,599772,height,22.0 centimetre
https://m.media-amazon.com/images/I/51PCC+mPMxL.jpg,752266,height,132.0 centimetre
https://m.media-amazon.com/images/I/51wVZRm7UmL.jpg,945489,height,135.0 millimetre
https://m.media-amazon.com/images/I/51++xLvoEYL.jpg,309110,height,80.0 centimetre
https://m.media-amazon.com/images/I/617jIIMMktL.jpg,416958,height,30.07 inch
https://m.media-amazon.com/images/I/51mO0gpyC9L.jpg,276611,height,66.5 centimetre
https://m.media-amazon.com/images/I/51fhc+l7wWL.jpg,446789,height,29.0 centimetre
https://m.media-amazon.com/images/I/61-LyjXZk0L.jpg,810266,height,225.0 millimetre
https://m.media-amazon.com/images/I/51516FB-qrS.jpg,558806,height,3.9 inch
https://m.media-amazon.com/images/I/41gCRXZEC8L.jpg,826249,height,199.0 millimetre
https://m.media-amazon.com/images/I/41t4MKVDeML.jpg,442321,height,28.35 inch
https://m.media-amazon.com/images/I/618DvLHiZ3L.jpg,202651,height,3.0 inch
https://m.media-amazon.com/images/I/6146f0lbdwL.jpg,745387,height,80.0 centimetre
https://m.media-amazon.com/images/I/418roWPcj+L.jpg,478357,height,60.0 centimetre
https://m.media-amazon.com/images/I/51qYNTa7u3L.jpg,483370,height,10.6 inch
https://m.media-amazon.com/images/I/41kf0w4PpmL.jpg,846116,height,18.0 centimetre
https://m.media-amazon.com/images/I/51KAmhnJtUL.jpg,478357,height,76.0 centimetre
https://m.media-amazon.com/images/I/619Ge-mKmbL.jpg,866516,height,6.4 inch
https://m.media-amazon.com/images/I/610O-IVJFUL.jpg,297246,height,24.0 millimetre
https://m.media-amazon.com/images/I/61C4W9CX5dL.jpg,433914,height,27.94 centimetre
https://m.media-amazon.com/images/I/51XCdjJhSvL.jpg,810266,height,2.6 inch
https://m.media-amazon.com/images/I/51joha0tUGL.jpg,823083,height,29.0 centimetre
https://m.media-amazon.com/images/I/61+w9oJa6WL.jpg,202651,height,60.0 millimetre
https://m.media-amazon.com/images/I/51T3bFwB8bL.jpg,693845,height,55.0 centimetre
https://m.media-amazon.com/images/I/61+O-ES7B8L.jpg,296275,height,6.5 centimetre
https://m.media-amazon.com/images/I/610YuaNdxVS.jpg,793774,height,6.3 inch
https://m.media-amazon.com/images/I/51ApTttp1nL.jpg,347404,height,26.8 inch
https://m.media-amazon.com/images/I/519n7Q1V9ZL.jpg,433914,height,204.5 centimetre
https://m.media-amazon.com/images/I/61DMC9c0RsL.jpg,866516,height,10.5 centimetre
https://m.media-amazon.com/images/I/51DFvLysfBL.jpg,823083,height,7.5 centimetre
https://m.media-amazon.com/images/I/51MnzlGs7dL.jpg,311997,height,21.2 inch
https://m.media-amazon.com/images/I/6190N41q5JL.jpg,442321,height,28.7 inch
https://m.media-amazon.com/images/I/610yEI-PjYL.jpg,249345,height,0.98 inch
https://m.media-amazon.com/images/I/61FMOCgn4IL.jpg,886874,height,7.3 centimetre
https://m.media-amazon.com/images/I/61777304sSL.jpg,220662,height,2.76 inch
https://m.media-amazon.com/images/I/51WCi2x9FQL.jpg,681445,height,1.7 inch
https://m.media-amazon.com/images/I/61B8sFjE+LL.jpg,192915,height,86.0 millimetre
https://m.media-amazon.com/images/I/41WK-0XRSkL.jpg,885644,height,65.0 millimetre
https://m.media-amazon.com/images/I/61DSiuXgesL.jpg,347830,height,7.25 centimetre
https://m.media-amazon.com/images/I/51xDaD1gXzL.jpg,140266,height,11.8 inch
https://m.media-amazon.com/images/I/418tYCfa7ML.jpg,311997,height,50.0 inch
https://m.media-amazon.com/images/I/519w9eUK+DL.jpg,913156,height,9.5 inch
https://m.media-amazon.com/images/I/612oEsW43xL.jpg,120219,height,10.0 centimetre
https://m.media-amazon.com/images/I/61A7wR0HX1L.jpg,237000,height,35.0 inch
https://m.media-amazon.com/images/I/51-9yEoNrKL.jpg,524117,height,19.3 centimetre
https://m.media-amazon.com/images/I/51-v0Bl+hIL.jpg,611510,height,52.0 centimetre
https://m.media-amazon.com/images/I/619Y27bs72L.jpg,949192,height,70.86 inch
https://m.media-amazon.com/images/I/51mPG3bP12L.jpg,169111,height,230.0 centimetre
https://m.media-amazon.com/images/I/513ZbgVLC-L.jpg,308430,height,6.0 inch
https://m.media-amazon.com/images/I/51znoE26+kL.jpg,226504,height,3.0 foot
https://m.media-amazon.com/images/I/51FlLSoFXSL.jpg,507467,height,9.5 centimetre
https://m.media-amazon.com/images/I/41A5AL5TgwL.jpg,120219,height,26.0 centimetre
